sRNA_ID	mRNA_ID	Prediction_Probability
sRNA106	Gene330	0.60669
sRNA104	Gene807	0.50663
sRNA195	Gene464	0.52919
sRNA198	Gene2232	0.47302
sRNA213	Gene2087	0.5462
sRNA64	Gene1837	0.6005
sRNA34	Gene585	0.47564
sRNA174	Gene2058	0.49931
sRNA231	Gene298	0.54806
sRNA208	Gene2795	0.49073
sRNA214	Gene2072	0.50082
sRNA9	Gene2213	0.47557
sRNA9	Gene304	0.54672
sRNA66	Gene1703	0.49092
sRNA100	Gene816	0.57705
sRNA245	Gene158	0.50315
sRNA30	Gene973	0.50216
sRNA259	Gene2657	0.45757
sRNA221	Gene1455	0.50221
sRNA218	Gene1975	0.51567
sRNA25	Gene2475	0.53131
sRNA7	Gene511	0.58595
sRNA51	Gene2068	0.55225
sRNA257	Gene370	0.53694
sRNA76	Gene36	0.55459
sRNA172	Gene2038	0.49257
sRNA107	Gene291	0.51653
sRNA7	Gene1493	0.54712
sRNA261	Gene1564	0.49986
sRNA103	Gene2043	0.47001
sRNA185	Gene1186	0.5291
sRNA171	Gene2579	0.49115
sRNA71	Gene200	0.58176
sRNA6	Gene9	0.5445
sRNA178	Gene919	0.54781
sRNA163	Gene1445	0.54997
sRNA104	Gene1705	0.49109
sRNA133	Gene1694	0.51085
sRNA33	Gene1289	0.52777
sRNA235	Gene721	0.56267
sRNA20	Gene1716	0.53296
sRNA239	Gene427	0.51102
sRNA243	Gene2766	0.5272
sRNA156	Gene383	0.51587
sRNA203	Gene31	0.53302
sRNA172	Gene1411	0.49184
sRNA58	Gene94	0.51643
sRNA9	Gene1776	0.51159
sRNA201	Gene1772	0.4576
sRNA232	Gene1461	0.44711
sRNA127	Gene1496	0.50138
sRNA108	Gene890	0.53393
sRNA27	Gene1018	0.45873
sRNA130	Gene1031	0.54847
sRNA154	Gene2845	0.57089
sRNA82	Gene2415	0.50674
sRNA40	Gene888	0.60012
sRNA140	Gene1799	0.50147
sRNA9	Gene1287	0.54717
sRNA129	Gene355	0.54499
sRNA42	Gene142	0.60478
sRNA12	Gene1452	0.60906
sRNA209	Gene2678	0.53425
sRNA131	Gene661	0.58039
sRNA106	Gene1594	0.55701
sRNA165	Gene2856	0.52708
sRNA218	Gene355	0.49914
sRNA113	Gene2721	0.50483
sRNA207	Gene881	0.55312
sRNA212	Gene2669	0.57687
sRNA163	Gene1047	0.54795
sRNA187	Gene2649	0.56001
sRNA123	Gene544	0.45106
sRNA45	Gene2148	0.53166
sRNA193	Gene2013	0.44773
sRNA180	Gene393	0.50615
sRNA239	Gene2174	0.53638
sRNA71	Gene2049	0.56838
sRNA175	Gene339	0.47052
sRNA86	Gene77	0.57135
sRNA231	Gene665	0.516
sRNA124	Gene2372	0.53927
sRNA190	Gene2621	0.56038
sRNA103	Gene463	0.506
sRNA30	Gene82	0.54379
sRNA3	Gene1699	0.50828
sRNA214	Gene1391	0.5873
sRNA87	Gene338	0.57074
sRNA182	Gene103	0.5314
sRNA111	Gene2722	0.53919
sRNA23	Gene2789	0.50346
sRNA214	Gene2356	0.52108
sRNA173	Gene22	0.47198
sRNA58	Gene610	0.51276
sRNA76	Gene789	0.47917
sRNA43	Gene2181	0.52002
sRNA164	Gene2725	0.50324
sRNA28	Gene2131	0.47449
sRNA4	Gene1720	0.45628
sRNA7	Gene2565	0.56937
sRNA205	Gene608	0.47486
sRNA14	Gene285	0.58257
sRNA45	Gene2121	0.54402
sRNA52	Gene1993	0.57537
sRNA222	Gene327	0.55115
sRNA9	Gene1009	0.46451
sRNA308	Gene2276	0.54714
sRNA164	Gene1216	0.50063
sRNA254	Gene904	0.50546
sRNA167	Gene2086	0.52953
sRNA229	Gene2650	0.50612
sRNA135	Gene2123	0.48233
sRNA26	Gene109	0.55865
sRNA145	Gene1869	0.54006
sRNA3	Gene1780	0.515
sRNA17	Gene736	0.55175
sRNA142	Gene876	0.51172
sRNA126	Gene417	0.50827
sRNA185	Gene650	0.49244
sRNA272	Gene610	0.54774
sRNA204	Gene961	0.5084
sRNA115	Gene999	0.51043
sRNA63	Gene663	0.5267
sRNA113	Gene380	0.50192
sRNA209	Gene2452	0.54057
sRNA158	Gene643	0.58143
sRNA32	Gene2526	0.51948
sRNA142	Gene440	0.4909
sRNA37	Gene1238	0.60078
sRNA165	Gene1914	0.45812
sRNA227	Gene1291	0.47394
sRNA120	Gene119	0.52585
sRNA9	Gene2396	0.52559
sRNA133	Gene1226	0.51706
sRNA245	Gene446	0.53643
sRNA103	Gene2012	0.50426
sRNA5	Gene57	0.51531
sRNA204	Gene1995	0.49967
sRNA58	Gene351	0.50699
sRNA172	Gene2614	0.50832
sRNA229	Gene1570	0.55611
sRNA193	Gene1979	0.48753
sRNA10	Gene1993	0.59416
sRNA224	Gene1455	0.53355
sRNA212	Gene483	0.52253
sRNA103	Gene1493	0.50777
sRNA177	Gene2024	0.55639
sRNA66	Gene1421	0.49001
sRNA6	Gene2106	0.51994
sRNA59	Gene842	0.54763
sRNA147	Gene2365	0.54673
sRNA3	Gene894	0.54604
sRNA188	Gene2589	0.51953
sRNA224	Gene2844	0.58154
sRNA135	Gene2589	0.47883
sRNA199	Gene1218	0.58773
sRNA69	Gene315	0.48975
sRNA133	Gene2483	0.52207
sRNA39	Gene703	0.58058
sRNA128	Gene412	0.5617
sRNA148	Gene927	0.55442
sRNA74	Gene1887	0.50317
sRNA183	Gene2685	0.548
sRNA188	Gene2365	0.51004
sRNA86	Gene1673	0.56673
sRNA190	Gene1588	0.57357
sRNA111	Gene1304	0.5324
sRNA87	Gene1465	0.47838
sRNA241	Gene412	0.5157
sRNA146	Gene1383	0.51798
sRNA258	Gene929	0.45696
sRNA210	Gene1925	0.46046
sRNA188	Gene2253	0.5198
sRNA50	Gene2195	0.56543
sRNA25	Gene1308	0.48192
sRNA231	Gene2728	0.52601
sRNA6	Gene502	0.52391
sRNA220	Gene2011	0.55476
sRNA274	Gene701	0.52499
sRNA181	Gene225	0.5565
sRNA162	Gene1812	0.52329
sRNA174	Gene2428	0.49329
sRNA41	Gene2655	0.55322
sRNA1	Gene927	0.52024
sRNA124	Gene144	0.55356
sRNA64	Gene1138	0.5859
sRNA90	Gene1406	0.52424
sRNA148	Gene1887	0.52881
sRNA50	Gene2040	0.53818
sRNA124	Gene2731	0.56168
sRNA61	Gene447	0.53897
sRNA31	Gene1862	0.54882
sRNA265	Gene961	0.47501
sRNA189	Gene2583	0.47409
sRNA135	Gene1755	0.51048
sRNA212	Gene2206	0.557
sRNA212	Gene892	0.54237
sRNA50	Gene25	0.48049
sRNA146	Gene1790	0.55016
sRNA206	Gene602	0.55463
sRNA161	Gene1439	0.55691
sRNA9	Gene1077	0.55917
sRNA96	Gene2154	0.5274
sRNA211	Gene505	0.49354
sRNA315	Gene1821	0.44976
sRNA198	Gene2485	0.5071
sRNA147	Gene806	0.56346
sRNA231	Gene235	0.52184
sRNA39	Gene505	0.49526
sRNA133	Gene1293	0.53136
sRNA191	Gene2422	0.50733
sRNA187	Gene1890	0.50933
sRNA130	Gene1160	0.56087
sRNA58	Gene860	0.5257
sRNA107	Gene1630	0.52908
sRNA90	Gene2398	0.54975
sRNA212	Gene1668	0.55707
sRNA247	Gene878	0.46313
sRNA155	Gene5	0.52538
sRNA257	Gene1637	0.48805
sRNA173	Gene99	0.51091
sRNA82	Gene2128	0.53877
sRNA100	Gene136	0.58916
sRNA130	Gene543	0.57686
sRNA1	Gene1413	0.51032
sRNA45	Gene1310	0.45611
sRNA222	Gene1563	0.51008
sRNA69	Gene573	0.4752
sRNA36	Gene2829	0.50687
sRNA230	Gene216	0.48258
sRNA202	Gene1671	0.52605
sRNA274	Gene339	0.47384
sRNA9	Gene2668	0.51777
sRNA113	Gene1020	0.52149
sRNA100	Gene1658	0.5596
sRNA92	Gene1141	0.53724
sRNA199	Gene2775	0.57128
sRNA293	Gene467	0.53044
sRNA196	Gene596	0.46053
sRNA157	Gene2344	0.51319
sRNA285	Gene562	0.45962
sRNA69	Gene1010	0.47167
sRNA249	Gene111	0.45375
sRNA239	Gene2217	0.4997
sRNA145	Gene2193	0.53914
sRNA29	Gene808	0.55531
sRNA51	Gene381	0.59154
sRNA3	Gene1218	0.51568
sRNA147	Gene962	0.56789
sRNA79	Gene2480	0.49829
sRNA243	Gene2322	0.55103
sRNA239	Gene2565	0.50131
sRNA59	Gene2117	0.61083
sRNA143	Gene1488	0.55559
sRNA51	Gene198	0.55483
sRNA194	Gene118	0.54489
sRNA166	Gene2042	0.45372
sRNA50	Gene729	0.5589
sRNA222	Gene952	0.47328
sRNA96	Gene2220	0.5287
sRNA189	Gene1843	0.49193
sRNA46	Gene2218	0.56987
sRNA212	Gene768	0.56033
sRNA184	Gene392	0.49798
sRNA296	Gene2152	0.50366
sRNA134	Gene257	0.57712
sRNA175	Gene2410	0.5242
sRNA227	Gene1770	0.59425
sRNA33	Gene1022	0.54429
sRNA46	Gene1210	0.58435
sRNA106	Gene415	0.55825
sRNA255	Gene731	0.45413
sRNA9	Gene1397	0.53798
sRNA195	Gene1615	0.50935
sRNA237	Gene2764	0.50727
sRNA132	Gene287	0.51217
sRNA100	Gene2428	0.57857
sRNA81	Gene2181	0.54401
sRNA258	Gene2348	0.52896
sRNA16	Gene788	0.53172
sRNA18	Gene98	0.54531
sRNA80	Gene98	0.53715
sRNA278	Gene1370	0.44957
sRNA129	Gene672	0.54738
sRNA8	Gene768	0.53427
sRNA44	Gene1480	0.48192
sRNA180	Gene2535	0.49121
sRNA20	Gene1331	0.54993
sRNA208	Gene290	0.46128
sRNA50	Gene1943	0.48755
sRNA97	Gene1961	0.5096
sRNA189	Gene1758	0.54542
sRNA2	Gene326	0.59374
sRNA116	Gene176	0.56076
sRNA32	Gene1945	0.48845
sRNA127	Gene2460	0.52632
sRNA35	Gene2238	0.55166
sRNA277	Gene994	0.46964
sRNA36	Gene1804	0.47498
sRNA190	Gene522	0.56777
sRNA186	Gene815	0.53964
sRNA9	Gene714	0.52322
sRNA188	Gene1972	0.56298
sRNA56	Gene614	0.50429
sRNA61	Gene2044	0.4898
sRNA151	Gene2722	0.50136
sRNA190	Gene125	0.5928
sRNA9	Gene2585	0.56043
sRNA198	Gene1441	0.4646
sRNA204	Gene1509	0.51405
sRNA163	Gene552	0.57567
sRNA89	Gene2649	0.50076
sRNA101	Gene86	0.51294
sRNA260	Gene2558	0.4671
sRNA200	Gene2577	0.45213
sRNA163	Gene2837	0.53173
sRNA68	Gene2094	0.45805
sRNA140	Gene1728	0.53785
sRNA140	Gene240	0.5583
sRNA178	Gene519	0.5307
sRNA275	Gene889	0.47562
sRNA40	Gene1637	0.48826
sRNA148	Gene1751	0.56041
sRNA88	Gene516	0.57616
sRNA38	Gene840	0.53819
sRNA9	Gene2485	0.57336
sRNA195	Gene2052	0.47808
sRNA215	Gene1023	0.5307
sRNA165	Gene1844	0.44648
sRNA226	Gene1755	0.51784
sRNA124	Gene1087	0.55188
sRNA9	Gene803	0.47291
sRNA15	Gene1185	0.52327
sRNA20	Gene237	0.58185
sRNA41	Gene609	0.58974
sRNA9	Gene2767	0.49915
sRNA23	Gene2459	0.52043
sRNA240	Gene2755	0.54469
sRNA163	Gene2481	0.56336
sRNA64	Gene996	0.56335
sRNA144	Gene43	0.48127
sRNA108	Gene1897	0.54052
sRNA9	Gene2820	0.45752
sRNA236	Gene440	0.56498
sRNA127	Gene195	0.50819
sRNA244	Gene1191	0.60926
sRNA60	Gene1611	0.50277
sRNA3	Gene1710	0.51565
sRNA4	Gene258	0.46161
sRNA267	Gene314	0.48025
sRNA112	Gene2364	0.5664
sRNA50	Gene1335	0.53328
sRNA106	Gene687	0.53347
sRNA223	Gene2826	0.62454
sRNA243	Gene2784	0.56022
sRNA291	Gene749	0.48903
sRNA75	Gene1884	0.50181
sRNA223	Gene130	0.57365
sRNA118	Gene2758	0.47441
sRNA79	Gene488	0.53454
sRNA50	Gene698	0.47923
sRNA208	Gene1632	0.48734
sRNA237	Gene1461	0.49144
sRNA37	Gene1007	0.6009
sRNA25	Gene370	0.5233
sRNA98	Gene689	0.52583
sRNA147	Gene1755	0.55987
sRNA41	Gene1029	0.56475
sRNA236	Gene185	0.57756
sRNA31	Gene579	0.55673
sRNA231	Gene2229	0.53623
sRNA76	Gene2347	0.56032
sRNA63	Gene2788	0.53535
sRNA139	Gene2403	0.56417
sRNA183	Gene2267	0.52409
sRNA164	Gene1253	0.52861
sRNA9	Gene1066	0.51989
sRNA134	Gene1278	0.49418
sRNA194	Gene1620	0.54343
sRNA207	Gene1106	0.54947
sRNA132	Gene2519	0.53124
sRNA246	Gene1578	0.52606
sRNA124	Gene983	0.58395
sRNA134	Gene245	0.53711
sRNA45	Gene1454	0.58095
sRNA64	Gene97	0.59134
sRNA189	Gene1970	0.52045
sRNA49	Gene1394	0.55466
sRNA81	Gene735	0.50923
sRNA28	Gene1176	0.47513
sRNA57	Gene1497	0.47155
sRNA30	Gene2719	0.5047
sRNA149	Gene1010	0.4584
sRNA175	Gene684	0.50952
sRNA87	Gene2541	0.58208
sRNA75	Gene1353	0.53104
sRNA243	Gene1841	0.576
sRNA193	Gene1519	0.5169
sRNA96	Gene826	0.45535
sRNA43	Gene1578	0.48931
sRNA270	Gene546	0.4471
sRNA86	Gene1898	0.58202
sRNA203	Gene2735	0.50865
sRNA101	Gene352	0.49963
sRNA9	Gene531	0.56569
sRNA162	Gene1951	0.51772
sRNA215	Gene2531	0.52564
sRNA220	Gene2174	0.56344
sRNA131	Gene2129	0.55414
sRNA83	Gene1710	0.51118
sRNA185	Gene780	0.52406
sRNA44	Gene1681	0.50239
sRNA106	Gene2512	0.55051
sRNA3	Gene1927	0.48589
sRNA109	Gene2453	0.57009
sRNA131	Gene2357	0.51683
sRNA5	Gene883	0.52207
sRNA130	Gene130	0.5705
sRNA101	Gene1156	0.56279
sRNA23	Gene2735	0.52244
sRNA165	Gene2168	0.49154
sRNA191	Gene1566	0.55482
sRNA87	Gene1633	0.52429
sRNA60	Gene2542	0.47808
sRNA50	Gene1812	0.56965
sRNA188	Gene895	0.50736
sRNA48	Gene1332	0.53456
sRNA63	Gene2327	0.56938
sRNA105	Gene1042	0.52088
sRNA3	Gene340	0.54907
sRNA32	Gene2556	0.48022
sRNA38	Gene1414	0.61345
sRNA129	Gene759	0.56109
sRNA226	Gene2780	0.50209
sRNA20	Gene344	0.53915
sRNA170	Gene979	0.4991
sRNA168	Gene1176	0.48762
sRNA72	Gene138	0.47621
sRNA96	Gene2074	0.50151
sRNA144	Gene1112	0.51619
sRNA9	Gene2109	0.55537
sRNA199	Gene2156	0.57519
sRNA72	Gene354	0.55537
sRNA191	Gene1046	0.47855
sRNA159	Gene1647	0.53863
sRNA58	Gene1572	0.51917
sRNA60	Gene1817	0.52021
sRNA165	Gene1895	0.48684
sRNA257	Gene1870	0.52862
sRNA45	Gene1519	0.5053
sRNA9	Gene868	0.53216
sRNA3	Gene1227	0.53017
sRNA188	Gene298	0.53852
sRNA69	Gene1111	0.53376
sRNA192	Gene2395	0.50346
sRNA163	Gene889	0.542
sRNA178	Gene942	0.55366
sRNA216	Gene2682	0.49169
sRNA36	Gene1738	0.49162
sRNA144	Gene2387	0.48701
sRNA111	Gene1125	0.56546
sRNA263	Gene846	0.50325
sRNA196	Gene970	0.46402
sRNA156	Gene1043	0.5875
sRNA92	Gene1444	0.49948
sRNA88	Gene1708	0.54282
sRNA264	Gene185	0.50046
sRNA65	Gene1151	0.57028
sRNA9	Gene533	0.52066
sRNA73	Gene2649	0.51245
sRNA27	Gene2432	0.49349
sRNA47	Gene745	0.4627
sRNA233	Gene1945	0.58088
sRNA108	Gene818	0.5066
sRNA171	Gene489	0.53076
sRNA26	Gene562	0.5662
sRNA193	Gene1993	0.48687
sRNA43	Gene1658	0.48131
sRNA198	Gene1777	0.47353
sRNA17	Gene1161	0.50304
sRNA229	Gene1968	0.49562
sRNA175	Gene719	0.51919
sRNA107	Gene897	0.5359
sRNA225	Gene163	0.54452
sRNA66	Gene1714	0.44989
sRNA36	Gene1922	0.54045
sRNA89	Gene2055	0.50488
sRNA33	Gene1735	0.47607
sRNA111	Gene1647	0.54587
sRNA27	Gene2434	0.45972
sRNA162	Gene842	0.57788
sRNA191	Gene25	0.45178
sRNA120	Gene1641	0.56225
sRNA111	Gene2231	0.53745
sRNA299	Gene1681	0.5496
sRNA163	Gene2160	0.57286
sRNA150	Gene1606	0.44784
sRNA225	Gene1840	0.49189
sRNA159	Gene1325	0.5311
sRNA200	Gene1868	0.48832
sRNA195	Gene2442	0.49788
sRNA223	Gene858	0.60383
sRNA129	Gene1765	0.54826
sRNA129	Gene1341	0.58117
sRNA18	Gene32	0.52009
sRNA140	Gene1902	0.57178
sRNA7	Gene1141	0.54184
sRNA116	Gene706	0.52617
sRNA56	Gene807	0.45223
sRNA227	Gene663	0.59699
sRNA68	Gene1984	0.44778
sRNA21	Gene1766	0.52008
sRNA233	Gene1735	0.50729
sRNA29	Gene794	0.5978
sRNA76	Gene2352	0.58369
sRNA176	Gene1449	0.5575
sRNA27	Gene1284	0.49819
sRNA131	Gene1171	0.57322
sRNA9	Gene1339	0.45058
sRNA50	Gene1492	0.49692
sRNA180	Gene1873	0.49937
sRNA53	Gene676	0.48675
sRNA9	Gene2038	0.51584
sRNA211	Gene289	0.47013
sRNA83	Gene672	0.58543
sRNA84	Gene2752	0.51712
sRNA172	Gene1344	0.49414
sRNA255	Gene21	0.45203
sRNA9	Gene888	0.5774
sRNA177	Gene165	0.5212
sRNA25	Gene1919	0.53859
sRNA224	Gene648	0.60314
sRNA15	Gene1944	0.5292
sRNA155	Gene583	0.48295
sRNA77	Gene2353	0.57659
sRNA213	Gene1473	0.51524
sRNA198	Gene2001	0.47952
sRNA79	Gene2064	0.51328
sRNA93	Gene455	0.56081
sRNA212	Gene1706	0.52445
sRNA129	Gene1433	0.56528
sRNA43	Gene686	0.48825
sRNA180	Gene2610	0.51026
sRNA186	Gene2217	0.53674
sRNA181	Gene2729	0.56556
sRNA63	Gene1713	0.53574
sRNA89	Gene846	0.52791
sRNA203	Gene1425	0.49306
sRNA136	Gene2256	0.56856
sRNA60	Gene1127	0.5381
sRNA19	Gene762	0.5449
sRNA195	Gene2744	0.50889
sRNA50	Gene2207	0.52203
sRNA128	Gene648	0.50292
sRNA200	Gene980	0.46539
sRNA82	Gene2365	0.52461
sRNA175	Gene1745	0.51346
sRNA203	Gene687	0.51806
sRNA59	Gene2636	0.56231
sRNA65	Gene1007	0.52277
sRNA191	Gene1632	0.52679
sRNA226	Gene1336	0.50129
sRNA9	Gene1173	0.55383
sRNA50	Gene1829	0.44752
sRNA50	Gene318	0.55915
sRNA193	Gene1379	0.46498
sRNA252	Gene322	0.48297
sRNA209	Gene2417	0.52445
sRNA181	Gene1390	0.56637
sRNA21	Gene259	0.5453
sRNA236	Gene587	0.55776
sRNA18	Gene2008	0.58801
sRNA317	Gene2102	0.44955
sRNA299	Gene1409	0.54189
sRNA52	Gene1665	0.55165
sRNA67	Gene1269	0.466
sRNA92	Gene1857	0.52516
sRNA143	Gene411	0.57871
sRNA3	Gene2492	0.49727
sRNA108	Gene2211	0.54879
sRNA37	Gene2844	0.56324
sRNA237	Gene406	0.47116
sRNA135	Gene262	0.47804
sRNA9	Gene1766	0.52454
sRNA151	Gene1995	0.53215
sRNA28	Gene106	0.52737
sRNA118	Gene1855	0.50889
sRNA1	Gene72	0.51821
sRNA46	Gene27	0.58988
sRNA181	Gene1467	0.56763
sRNA205	Gene468	0.53478
sRNA76	Gene60	0.54957
sRNA27	Gene1248	0.463
sRNA231	Gene2369	0.54166
sRNA259	Gene1972	0.46523
sRNA181	Gene2617	0.5857
sRNA188	Gene260	0.53626
sRNA154	Gene2615	0.53302
sRNA234	Gene1469	0.54192
sRNA50	Gene1622	0.49139
sRNA83	Gene1659	0.49781
sRNA247	Gene2115	0.45298
sRNA40	Gene287	0.55814
sRNA30	Gene1541	0.48562
sRNA132	Gene123	0.48503
sRNA50	Gene2420	0.5362
sRNA7	Gene2377	0.60902
sRNA50	Gene1608	0.53201
sRNA168	Gene501	0.46764
sRNA118	Gene1854	0.58261
sRNA56	Gene2408	0.50555
sRNA116	Gene1782	0.55375
sRNA65	Gene1824	0.54706
sRNA186	Gene128	0.56241
sRNA248	Gene1628	0.47304
sRNA144	Gene122	0.52458
sRNA214	Gene1200	0.541
sRNA171	Gene2595	0.5185
sRNA222	Gene2575	0.46089
sRNA37	Gene418	0.63242
sRNA86	Gene305	0.55611
sRNA140	Gene1122	0.50316
sRNA56	Gene424	0.49459
sRNA104	Gene1176	0.52587
sRNA274	Gene2166	0.4814
sRNA39	Gene700	0.58225
sRNA87	Gene1869	0.54202
sRNA233	Gene2277	0.58244
sRNA74	Gene1045	0.48141
sRNA8	Gene2671	0.47715
sRNA3	Gene1596	0.54152
sRNA145	Gene2283	0.47163
sRNA85	Gene680	0.50583
sRNA52	Gene1847	0.5366
sRNA66	Gene1331	0.47729
sRNA9	Gene1332	0.45669
sRNA106	Gene206	0.47314
sRNA256	Gene23	0.48295
sRNA219	Gene1648	0.46669
sRNA100	Gene812	0.59132
sRNA117	Gene266	0.56923
sRNA278	Gene1505	0.52381
sRNA149	Gene2283	0.47684
sRNA75	Gene2750	0.527
sRNA28	Gene1820	0.49982
sRNA80	Gene1632	0.50687
sRNA95	Gene2663	0.57592
sRNA43	Gene2088	0.45209
sRNA106	Gene2191	0.52339
sRNA14	Gene532	0.56314
sRNA46	Gene1616	0.53356
sRNA143	Gene371	0.54338
sRNA113	Gene1263	0.51889
sRNA148	Gene486	0.57063
sRNA84	Gene1605	0.47892
sRNA294	Gene510	0.4726
sRNA239	Gene111	0.49369
sRNA24	Gene894	0.45571
sRNA70	Gene1363	0.51349
sRNA194	Gene552	0.58055
sRNA19	Gene2640	0.56482
sRNA234	Gene1571	0.58056
sRNA276	Gene2007	0.52292
sRNA244	Gene1539	0.5023
sRNA190	Gene2324	0.52687
sRNA133	Gene1331	0.523
sRNA9	Gene735	0.59078
sRNA235	Gene1053	0.56145
sRNA51	Gene686	0.57985
sRNA76	Gene1866	0.48331
sRNA154	Gene389	0.52286
sRNA161	Gene179	0.54381
sRNA11	Gene1971	0.55345
sRNA65	Gene1788	0.51403
sRNA172	Gene1177	0.55124
sRNA54	Gene199	0.48064
sRNA195	Gene1598	0.51873
sRNA180	Gene1708	0.50983
sRNA50	Gene1362	0.49019
sRNA112	Gene2725	0.56804
sRNA207	Gene2432	0.53012
sRNA4	Gene1442	0.46006
sRNA266	Gene2263	0.45373
sRNA243	Gene2443	0.52702
sRNA262	Gene1952	0.52395
sRNA96	Gene2729	0.47492
sRNA61	Gene2154	0.54111
sRNA42	Gene2216	0.5467
sRNA184	Gene12	0.46417
sRNA134	Gene228	0.53842
sRNA108	Gene2650	0.52143
sRNA140	Gene2684	0.57025
sRNA199	Gene1890	0.55903
sRNA189	Gene2277	0.49714
sRNA50	Gene150	0.50338
sRNA161	Gene175	0.57522
sRNA12	Gene2398	0.58195
sRNA232	Gene2021	0.45665
sRNA20	Gene2737	0.53847
sRNA62	Gene996	0.52862
sRNA215	Gene2426	0.51113
sRNA113	Gene1041	0.53502
sRNA168	Gene2684	0.49744
sRNA21	Gene2269	0.54392
sRNA112	Gene1661	0.55771
sRNA220	Gene1594	0.57742
sRNA131	Gene375	0.56968
sRNA61	Gene1714	0.52463
sRNA232	Gene1210	0.47839
sRNA101	Gene125	0.52902
sRNA41	Gene2221	0.55709
sRNA205	Gene716	0.50228
sRNA151	Gene1480	0.56149
sRNA214	Gene920	0.54394
sRNA82	Gene1051	0.55358
sRNA218	Gene84	0.5549
sRNA225	Gene2803	0.4953
sRNA158	Gene1808	0.48809
sRNA49	Gene1009	0.49321
sRNA193	Gene1756	0.48385
sRNA175	Gene2786	0.51535
sRNA28	Gene1965	0.49472
sRNA262	Gene982	0.50664
sRNA51	Gene1316	0.5745
sRNA223	Gene994	0.56121
sRNA134	Gene1239	0.56354
sRNA186	Gene2789	0.56745
sRNA9	Gene869	0.52976
sRNA76	Gene1903	0.58295
sRNA218	Gene1359	0.52421
sRNA233	Gene2063	0.58216
sRNA150	Gene2805	0.52726
sRNA120	Gene1724	0.54892
sRNA278	Gene1770	0.48217
sRNA45	Gene219	0.53328
sRNA154	Gene973	0.55142
sRNA25	Gene968	0.50937
sRNA182	Gene2776	0.51431
sRNA55	Gene2515	0.58034
sRNA89	Gene272	0.51969
sRNA85	Gene2776	0.49799
sRNA204	Gene1362	0.51746
sRNA152	Gene804	0.51938
sRNA197	Gene2037	0.46144
sRNA7	Gene1400	0.56675
sRNA191	Gene217	0.51328
sRNA170	Gene1358	0.51937
sRNA278	Gene2690	0.46582
sRNA129	Gene1804	0.59096
sRNA181	Gene1356	0.57111
sRNA37	Gene1100	0.54692
sRNA150	Gene1713	0.49483
sRNA149	Gene2735	0.47422
sRNA3	Gene642	0.54165
sRNA230	Gene1892	0.48528
sRNA58	Gene1618	0.5202
sRNA222	Gene812	0.55129
sRNA228	Gene1217	0.49644
sRNA156	Gene2375	0.46447
sRNA103	Gene2666	0.44856
sRNA221	Gene2827	0.51467
sRNA43	Gene2835	0.45008
sRNA170	Gene909	0.50753
sRNA122	Gene2096	0.56887
sRNA89	Gene1639	0.51538
sRNA110	Gene1206	0.56112
sRNA84	Gene1033	0.48188
sRNA147	Gene779	0.47671
sRNA4	Gene188	0.47208
sRNA173	Gene2454	0.49091
sRNA50	Gene1602	0.50775
sRNA62	Gene924	0.49521
sRNA117	Gene579	0.55955
sRNA5	Gene2289	0.51427
sRNA239	Gene2353	0.5203
sRNA108	Gene1832	0.53597
sRNA48	Gene745	0.52705
sRNA164	Gene1262	0.49227
sRNA67	Gene2082	0.4836
sRNA206	Gene2750	0.49817
sRNA145	Gene2181	0.53369
sRNA28	Gene2499	0.4762
sRNA91	Gene1242	0.48061
sRNA221	Gene82	0.49526
sRNA135	Gene868	0.51938
sRNA131	Gene1174	0.52925
sRNA235	Gene1020	0.55057
sRNA174	Gene91	0.52439
sRNA204	Gene2280	0.4773
sRNA131	Gene1241	0.518
sRNA124	Gene277	0.50592
sRNA240	Gene1307	0.55368
sRNA66	Gene1163	0.44673
sRNA58	Gene2671	0.45195
sRNA113	Gene809	0.49732
sRNA34	Gene2271	0.46986
sRNA204	Gene2713	0.52466
sRNA85	Gene501	0.51051
sRNA18	Gene990	0.51476
sRNA206	Gene1925	0.49056
sRNA161	Gene480	0.56119
sRNA125	Gene1186	0.5828
sRNA240	Gene1442	0.54736
sRNA175	Gene2448	0.4956
sRNA108	Gene2465	0.51594
sRNA9	Gene2808	0.46365
sRNA185	Gene1224	0.51119
sRNA9	Gene1233	0.48118
sRNA132	Gene2580	0.47408
sRNA89	Gene665	0.51106
sRNA249	Gene673	0.49782
sRNA139	Gene2471	0.51931
sRNA104	Gene1385	0.51162
sRNA238	Gene1356	0.52357
sRNA9	Gene2112	0.50183
sRNA9	Gene1090	0.5274
sRNA194	Gene2436	0.5444
sRNA189	Gene1751	0.49333
sRNA155	Gene346	0.45475
sRNA111	Gene2654	0.49105
sRNA131	Gene1936	0.54428
sRNA233	Gene640	0.57374
sRNA42	Gene235	0.58159
sRNA2	Gene1788	0.48385
sRNA285	Gene1346	0.45548
sRNA155	Gene200	0.50398
sRNA106	Gene765	0.47758
sRNA89	Gene868	0.52027
sRNA18	Gene130	0.48272
sRNA163	Gene613	0.54916
sRNA207	Gene1397	0.53932
sRNA59	Gene1696	0.52107
sRNA243	Gene592	0.52656
sRNA124	Gene35	0.56046
sRNA50	Gene2851	0.48804
sRNA97	Gene2507	0.50885
sRNA183	Gene2662	0.54616
sRNA208	Gene251	0.53981
sRNA34	Gene983	0.44751
sRNA83	Gene709	0.52495
